,Nome,Numero de Falas,Numero de Palavras Faladas,Numero de Caracteres Falados,Media de Caracteres por Fala,Media de Palavras por Fala
0,Adriana Alves Pereira Wilken,26,31158,21211,815.8076923076923,1198.3846153846155
1,Denise Bernardes Couto,5,1108,4211,842.2,221.6
2,João Carlos de Melo,6,1972,6854,1142.3333333333333,328.6666666666667
3,João Clímaco Soares de Mendonça Filho,8,4936,12752,1594.0,617.0
4,Lúcio Guerra Júnior,45,124574,47380,1052.888888888889,2768.311111111111
5,Luiz Henrique Passos Rezende,19,10060,12262,645.3684210526316,529.4736842105264
6,Maria Eugênia Monteiro,2,249,1553,776.5,124.5
7,Maria Teresa Viana de Freitas Corujo,2,2238,17097,8548.5,1119.0
8,Newton Reis de Oliveira Luz,5,1463,4736,947.2,292.6
9,Yuri Rafael de Oliveira Trovão,69,154211,41439,600.5652173913044,2234.942028985507
