,Nome,Numero de Falas,Numero de Palavras Faladas,Numero de Caracteres Falados,Media de Caracteres por Fala,Media de Palavras por Fala
0,Adriana Alves Pereira Wilken,90,339857,74667,829.6333333333333,3776.188888888889
1,Alexandre Augusto Carneiro,0,0,0,0,0
2,Aline Fernandes Parreira,1,2,22,22.0,2.0
3,Ana Lúcia Guará Bezerra,0,0,0,0,0
4,Anderson Peixoto Amparo,0,0,0,0,0
5,Antônio Geraldo da Silva,1,19,227,227.0,19.0
6,Breno Esteves Lasmar,6,901,3095,515.8333333333334,150.16666666666666
7,Bruno Ferreira Costa,0,0,0,0,0
8,Caio Benevides Pedra,0,0,0,0,0
9,Carina Angélica Brito Reyder,0,0,0,0,0
10,Carlos Augusto Antunes Malta,0,0,0,0,0
11,Claudinei Oliveira Cruz,44,64281,25260,574.0909090909091,1460.9318181818182
12,Daniel Rennó Tenenwurcel,1,100,1114,1114.0,100.0
13,Danielle Braga Valaci Pontes Ferrari,0,0,0,0,0
14,Denise Bernardes Couto,24,20163,19387,807.7916666666666,840.125
15,Edmilson Rodrigues da Costa,0,0,0,0,0
16,Egmar Pereira Panta,0,0,0,0,0
17,Elias Nascimento de Aquino,3,310,1307,435.6666666666667,103.33333333333333
18,Emílio Parolini,0,0,0,0,0
19,Ênio Marcus Brandão Fonseca,0,0,0,0,0
20,Evandro Carrusca de Oliveira,25,12167,15151,606.04,486.68
21,Fabiana Aparecida Garcia,2,43,269,134.5,21.5
22,Fabíola Nunes Derossi,3,838,4454,1484.6666666666667,279.3333333333333
23,Fernando Barbosa e Benício de Abreu,0,0,0,0,0
24,Flávio Eduardo Krollmann,0,0,0,0,0
25,Francisco de Assis Lafetá Couto,16,9941,13159,822.4375,621.3125
26,Francisco Eduardo Moreira,0,0,0,0,0
27,Geraldo Majella Guimarães,0,0,0,0,0
28,Gislene Custódio,0,0,0,0,0
29,Guilherme Augusto Duarte de Faria,0,0,0,0,0
30,Gutemberg Machado Mascarenhas,0,0,0,0,0
31,Haenderson Sena,0,0,0,0,0
32,Henrique Oliveira Carvalho,0,0,0,0,0
33,Henrique Tavares,0,0,0,0,0
34,João Carlos de Melo,44,137945,70757,1608.1136363636363,3135.1136363636365
35,João Clímaco Soares de Mendonça Filho,31,103222,80168,2586.064516129032,3329.7419354838707
36,Joaquim Rocha Dourado,0,0,0,0,0
37,Julio Cesar Dutra Grillo,10,12661,24342,2434.2,1266.1
38,Júlio César Nery Ferreira,2,49,347,173.5,24.5
39,Laura de Morais Andrade Coutinho,0,0,0,0,0
40,Leonardo Carvalho Ladeira,0,0,0,0,0
41,Leorges de Araújo Rodrigues,0,0,0,0,0
42,Letícia Capistrano Campos,0,0,0,0,0
43,Letícia Silva Palma,0,0,0,0,0
44,Liliana Adriana Nappi Mateus Zuleika Stela Chiacchio Torquetti,0,0,0,0,0
45,Lívia Cristina Oliveira Lana,0,0,0,0,0
46,Lúcio Guerra Júnior,231,3241038,290823,1258.974025974026,14030.467532467532
47,Luis Gustavo D´Ávila Riani,0,0,0,0,0
48,Luiz Henrique Passos Rezende,39,32827,20722,531.3333333333334,841.7179487179487
49,Marcelo Belisário Campos,0,0,0,0,0
50,Marcelo Ladeira,0,0,0,0,0
51,Marco Aurélio Moreira,0,0,0,0,0
52,Marcos Afonso Marciano de Oliveira,0,0,0,0,0
53,Maria Cláudia Machado de Assis,0,0,0,0,0
54,Maria Eugênia Monteiro,6,1056,4010,668.3333333333334,176.0
55,Maria Teresa Viana de Freitas Corujo,55,260190,104513,1900.2363636363636,4730.727272727273
56,Mila Magalhães Ribeiro,0,0,0,0,0
57,Natália Freitas Miranda,0,0,0,0,0
58,Nei de Moura Camara,0,0,0,0,0
59,Newton Reis de Oliveira Luz,51,148462,73100,1433.3333333333333,2911.0196078431372
60,Patrícia Haile Hilário,0,0,0,0,0
61,Paula Meireles Aguiar,0,0,0,0,0
62,Paulo Eugênio de Oliveira,20,7544,7116,355.8,377.2
63,Polyana Faria Pereira,0,0,0,0,0
64,Renato Teixeira Brandão,0,0,0,0,0
65,Ricardo Goulart Castilho de Souza,0,0,0,0,0
66,Ricardo Machado Ruiz,0,0,0,0,0
67,Rinaldo César Mancin,0,0,0,0,0
68,Rodrigo Silva Lemos,0,0,0,0,0
69,Rômel Amarildo Vasconcelos Costa,0,0,0,0,0
70,Sanny Rodrigues Moreira Campos,0,0,0,0,0
71,Selma Maria de Oliveira Cabaleiro,3,243,1496,498.6666666666667,81.0
72,Sérgio Melo Lobo de Faria,0,0,0,0,0
73,Sônia Maria Costa Greco,0,0,0,0,0
74,Tatiane Patrícia dos Reis Sanção,0,0,0,0,0
75,Thiago Rodrigues Cavalcanti,0,0,0,0,0
76,Túlio Almeida Lopes,7,4087,8620,1231.4285714285713,583.8571428571429
77,Ubaldina Maria da Costa Isaac,16,1382,1591,99.4375,86.375
78,Valéria Carla Vieira dos Santos Pires,0,0,0,0,0
79,Vanessa Mariano Santos de Araújo Leal,0,0,0,0,0
80,Verônica Ildefonso Cunha Coutinho,12,4146,7830,652.5,345.5
81,Vinicius Barros Rezende,0,0,0,0,0
82,Walmir de Castro Braga,0,0,0,0,0
83,Yuri Rafael de Oliveira Trovão,408,4223082,247462,606.5245098039215,10350.691176470587
